movie_id,title,Budget,Revenue,Popularity,Genres,Primary_Genre,Genre_Count,Director,Production_Companies,Primary_Production_Company,Production_Company_Count,Release_Date,Cast_Count,Lead_Actor,Second_Lead_Actor,Third_Lead_Actor,Male_Cast_Count,Female_Cast_Count,Unknown_Cast_Gender_Count,Cast_Gender_Ratio,Crew_Count,Producer_Count,Writer_Count,Male_Crew_Count,Female_Crew_Count,Unknown_Crew_Gender_Count,Unique_Department_Count,Top_Crew_Department,Cast_Crew_Ratio,Total_People_Involved,Profit,ROI,Revenue_Budget_Ratio,Budget_Category,Financial_Result,Budget_Efficiency,Popularity_Category,Profitability_Category,Popularity_Profitability_Segment,Release_Year,Release_Month,Release_Month_Name,Release_Quarter,Release_Season,Has_Budget_Data,Has_Revenue_Data,Has_Financial_Data,Has_Genre_Data,Has_Company_Data,Has_Release_Data
1452,Superman Returns,223000000,391081192,5.5,"Science Fiction, Action, Adventure",Science Fiction,3,Bryan Singer,"Warner Bros. Pictures, Legendary Pictures, Peters Entertainment, Bad Hat Harry Productions, DC",Warner Bros. Pictures,5,28-06-2006 00:00,18,Brandon Routh,Kevin Spacey,Kate Bosworth,10,5,3,2,24,3,2,15,1,8,7,Production,0.75,42,168081192,75.37,1.75,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2006,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10764,Quantum of Solace,200000000,589593688,7.79,"Adventure, Action, Thriller",Adventure,3,Marc Forster,"EON Productions, Metro-Goldwyn-Mayer, Columbia Pictures, B22",EON Productions,4,29-10-2008 00:00,32,Daniel Craig,Olga Kurylenko,Mathieu Amalric,14,7,11,2,17,2,3,12,3,2,8,Production,1.88,49,389593688,194.8,2.95,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2008,10,October,Q4,Autumn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1066179747,21.87,"Adventure, Fantasy, Action",Adventure,3,Gore Verbinski,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",Walt Disney Pictures,3,06-07-2006 00:00,33,Johnny Depp,Orlando Bloom,Keira Knightley,25,4,4,6.25,23,3,2,15,3,5,9,Production,1.43,56,866179747,433.09,5.33,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2006,7,July,Q3,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57201,The Lone Ranger,215000000,260502115,6.43,"Action, Adventure, Western",Action,3,Gore Verbinski,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Blind Wink",Walt Disney Pictures,4,03-07-2013 00:00,60,Johnny Depp,Armie Hammer,William Fichtner,33,6,21,5.5,35,2,3,18,3,14,10,Production,1.71,95,45502115,21.16,1.21,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2013,7,July,Q3,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49521,Man of Steel,225000000,668045518,13.65,"Action, Adventure, Science Fiction",Action,3,Zack Snyder,"Syncopy, Peters Entertainment, Warner Bros. Pictures, DC",Syncopy,4,12-06-2013 00:00,33,Henry Cavill,Amy Adams,Michael Shannon,20,8,5,2.5,48,4,1,16,7,25,10,Production,0.69,81,443045518,196.91,2.97,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2013,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2454,The Chronicles of Narnia: Prince Caspian,225000000,419665568,7.22,"Adventure, Family, Fantasy",Adventure,3,Andrew Adamson,"Walt Disney Pictures, Walden Media, Silverbell Films, Mark Johnson Productions, C.S. Lewis Company",Walt Disney Pictures,5,15-05-2008 00:00,21,Ben Barnes,William Moseley,Anna Popplewell,16,5,0,3.2,83,3,3,21,5,57,11,Production,0.25,104,194665568,86.52,1.87,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2008,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
24428,The Avengers,220000000,1518815515,39.84,"Science Fiction, Action, Adventure",Science Fiction,3,Joss Whedon,Marvel Studios,Marvel Studios,1,25-04-2012 00:00,115,Robert Downey Jr.,Chris Evans,Mark Ruffalo,69,28,18,2.46,147,1,1,26,7,114,11,Visual Effects,0.78,262,1298815515,590.37,6.9,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2012,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1865,Pirates of the Caribbean: On Stranger Tides,379000000,1046721266,17.75,"Adventure, Action, Fantasy",Adventure,3,Rob Marshall,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company",Walt Disney Pictures,3,15-05-2011 00:00,35,Johnny Depp,Penélope Cruz,Ian McShane,25,3,7,8.33,39,1,2,14,2,23,10,Sound,0.9,74,667721266,176.18,2.76,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2011,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41154,Men in Black 3,225000000,654213485,6.97,"Action, Comedy, Science Fiction",Action,3,Barry Sonnenfeld,"Columbia Pictures, Hemisphere Media Capital, Amblin Entertainment, Parkes+MacDonald Image Nation, Image Nation Abu Dhabi",Columbia Pictures,5,23-05-2012 00:00,18,Will Smith,Tommy Lee Jones,Josh Brolin,12,4,2,3,21,2,2,10,3,8,10,Production,0.86,39,429213485,190.76,2.91,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2012,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
122917,The Hobbit: The Battle of the Five Armies,250000000,956019788,17.29,"Action, Adventure, Fantasy",Action,3,Peter Jackson,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",New Line Cinema,3,10-12-2014 00:00,42,Martin Freeman,Ian McKellen,Richard Armitage,27,5,10,5.4,127,4,4,19,9,99,11,Art,0.33,169,706019788,282.41,3.82,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2014,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1930,The Amazing Spider-Man,215000000,758725893,24.45,"Action, Adventure, Science Fiction",Action,3,Marc Webb,"Marvel Entertainment, Laura Ziskin Productions, Columbia Pictures, Matt Tolmach Productions, Arad Productions",Marvel Entertainment,5,23-06-2012 00:00,57,Andrew Garfield,Emma Stone,Rhys Ifans,32,18,7,1.78,106,3,3,26,6,74,11,Art,0.54,163,543725893,252.9,3.53,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2012,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20662,Robin Hood,200000000,321669741,5.27,"Action, Adventure, History, Drama",Action,4,Ridley Scott,"Imagine Entertainment, Relativity Media, Scott Free Productions",Imagine Entertainment,3,12-05-2010 00:00,34,Russell Crowe,Cate Blanchett,Max von Sydow,22,5,7,4.4,18,3,1,9,2,7,8,Production,1.89,52,121669741,60.83,1.61,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2010,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
57158,The Hobbit: The Desolation of Smaug,250000000,958400000,12.73,"Fantasy, Adventure, Action",Fantasy,3,Peter Jackson,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",New Line Cinema,3,11-12-2013 00:00,32,Martin Freeman,Ian McKellen,Richard Armitage,22,4,6,5.5,108,4,4,22,9,77,11,Production,0.3,140,708400000,283.36,3.83,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2013,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2268,The Golden Compass,180000000,372234864,4.86,"Adventure, Fantasy",Adventure,2,Chris Weitz,"Depth of Field, New Line Cinema, Scholastic Productions, Ingenious Media",Depth of Field,4,04-12-2007 00:00,29,Dakota Blue Richards,Nicole Kidman,Daniel Craig,14,8,7,1.75,32,2,1,10,6,16,11,Production,0.91,61,192234864,106.8,2.07,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2007,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
254,King Kong,207000000,562363449,10.96,"Adventure, Drama, Action",Adventure,3,Peter Jackson,"Universal Pictures, WingNut Films, Big Primate Pictures, MFPV Film",Universal Pictures,4,12-12-2005 00:00,33,Naomi Watts,Jack Black,Adrien Brody,20,1,12,20,38,4,0,12,5,21,10,Production,0.87,71,355363449,171.67,2.72,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2005,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
597,Titanic,200000000,2264162353,31.51,"Drama, Romance",Drama,2,James Cameron,"Paramount Pictures, 20th Century Fox, Lightstorm Entertainment",Paramount Pictures,3,18-12-1997 00:00,136,Kate Winslet,Leonardo DiCaprio,Frances Fisher,42,30,64,1.4,65,2,1,17,6,42,11,Production,2.09,201,2064162353,1032.08,11.32,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,1997,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
271110,Captain America: Civil War,250000000,1155046416,17.5,"Adventure, Action, Science Fiction",Adventure,3,Anthony Russo,Marvel Studios,Marvel Studios,1,27-04-2016 00:00,100,Chris Evans,Robert Downey Jr.,Scarlett Johansson,27,9,64,3,119,1,2,28,9,82,11,Costume & Make-Up,0.84,219,905046416,362.02,4.62,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2016,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
44833,Battleship,209000000,303025485,9.63,"Thriller, Action, Adventure, Science Fiction",Thriller,4,Peter Berg,"Bluegrass Films, Film 44, Universal Pictures, Hasbro Studios",Bluegrass Films,4,11-04-2012 00:00,46,Taylor Kitsch,Alexander Skarsgård,Rihanna,27,5,14,5.4,122,6,2,21,6,95,11,Sound,0.38,168,94025485,44.99,1.45,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2012,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
135397,Jurassic World,150000000,1671537444,14.43,"Adventure, Science Fiction, Thriller",Adventure,3,Colin Trevorrow,"Amblin Entertainment, Universal Pictures, Legendary Pictures",Amblin Entertainment,3,06-06-2015 00:00,28,Chris Pratt,Bryce Dallas Howard,Irrfan Khan,16,8,4,2,435,2,4,39,8,388,11,Crew,0.06,463,1521537444,1014.36,11.14,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2015,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37724,Skyfall,200000000,1108594176,9.56,"Action, Adventure, Thriller",Action,3,Sam Mendes,"Metro-Goldwyn-Mayer, EON Productions, Columbia Pictures",Metro-Goldwyn-Mayer,3,24-10-2012 00:00,24,Daniel Craig,Judi Dench,Javier Bardem,8,6,10,1.33,30,2,3,16,6,8,9,Art,0.8,54,908594176,454.3,5.54,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2012,10,October,Q4,Autumn,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
558,Spider-Man 2,200000000,788976453,9.3,"Action, Adventure, Science Fiction",Action,3,Sam Raimi,"Marvel Enterprises, Laura Ziskin Productions, Columbia Pictures",Marvel Enterprises,3,25-06-2004 00:00,76,Tobey Maguire,Kirsten Dunst,James Franco,33,16,27,2.06,128,3,1,33,4,91,11,Crew,0.59,204,588976453,294.49,3.94,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2004,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
68721,Iron Man 3,200000000,1215577205,13.53,"Action, Adventure, Science Fiction",Action,3,Shane Black,Marvel Studios,Marvel Studios,1,18-04-2013 00:00,107,Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,42,12,53,3.5,29,1,2,18,3,8,11,Production,3.69,136,1015577205,507.79,6.08,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2013,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12155,Alice in Wonderland,200000000,1025467110,13.37,"Family, Fantasy, Adventure",Family,3,Tim Burton,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",Walt Disney Pictures,5,03-03-2010 00:00,35,Mia Wasikowska,Johnny Depp,Anne Hathaway,17,16,2,1.06,24,7,1,9,4,11,10,Production,1.46,59,825467110,412.73,5.13,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2010,3,March,Q1,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36668,X-Men: The Last Stand,210000000,459359555,0.54,"Adventure, Action, Science Fiction",Adventure,3,Brett Ratner,"The Donners' Company, 20th Century Fox, Marvel Entertainment",The Donners' Company,3,24-05-2006 00:00,32,Hugh Jackman,Halle Berry,Ian McKellen,19,10,3,1.9,39,3,2,18,7,14,10,Production,0.82,71,249359555,118.74,2.19,Blockbuster Budget,Profit,Efficient,Low Popularity,Highly Profitable,Low Popularity - Highly Profitable,2006,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
62211,Monsters University,200000000,743559465,13.48,"Animation, Family, Comedy, Fantasy",Animation,4,Dan Scanlon,Pixar,Pixar,1,19-06-2013 00:00,24,Billy Crystal,John Goodman,Steve Buscemi,16,6,2,2.67,13,1,3,8,1,4,5,Production,1.85,37,543559465,271.78,3.72,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2013,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8373,Transformers: Revenge of the Fallen,200000000,836304167,3.7,"Science Fiction, Action, Adventure",Science Fiction,3,Michael Bay,"DreamWorks Pictures, Paramount Pictures, di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions",DreamWorks Pictures,5,19-06-2009 00:00,37,Shia LaBeouf,Megan Fox,Josh Duhamel,25,6,6,4.17,55,4,1,22,8,25,10,Production,0.67,92,636304167,318.15,4.18,Blockbuster Budget,Profit,Highly Efficient,Medium Popularity,Highly Profitable,Medium Popularity - Highly Profitable,2009,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
91314,Transformers: Age of Extinction,210000000,1105261713,10.35,"Science Fiction, Action, Adventure",Science Fiction,3,Michael Bay,"di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",di Bonaventura Pictures,5,25-06-2014 00:00,41,Mark Wahlberg,Stanley Tucci,Kelsey Grammer,26,6,9,4.33,86,4,1,21,7,58,11,Art,0.48,127,895261713,426.32,5.26,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2014,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
68728,Oz: The Great and Powerful,200000000,491868548,4.97,"Fantasy, Adventure, Family",Fantasy,3,Sam Raimi,"Roth Films, Curtis-Donen Productions, Walt Disney Pictures",Roth Films,3,07-03-2013 00:00,159,James Franco,Mila Kunis,Rachel Weisz,15,33,111,0.45,31,1,2,13,2,16,10,Art,5.13,190,291868548,145.93,2.46,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2013,3,March,Q1,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
102382,The Amazing Spider-Man 2,200000000,716934779,19,"Action, Adventure, Science Fiction",Action,3,Marc Webb,"Columbia Pictures, Matt Tolmach Productions, Arad Productions, Marvel Entertainment",Columbia Pictures,4,16-04-2014 00:00,65,Andrew Garfield,Emma Stone,Jamie Foxx,52,11,2,4.73,102,2,3,18,9,75,11,Art,0.64,167,516934779,258.47,3.58,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2014,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20526,TRON: Legacy,170000000,409912892,9.62,"Adventure, Action, Science Fiction",Adventure,3,Joseph Kosinski,"Walt Disney Pictures, Sean Bailey Productions",Walt Disney Pictures,2,14-12-2010 00:00,23,Garrett Hedlund,Jeff Bridges,Olivia Wilde,14,6,3,2.33,27,3,4,14,4,9,8,Production,0.85,50,239912892,141.13,2.41,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2010,12,December,Q4,Winter,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
49013,Cars 2,200000000,559852396,15.71,"Animation, Family, Adventure, Comedy",Animation,4,John Lasseter,"Pixar, Walt Disney Pictures",Pixar,2,11-06-2011 00:00,47,Owen Wilson,Larry the Cable Guy,Michael Caine,26,6,15,4.33,40,1,1,14,5,21,9,Writing,1.18,87,359852396,179.93,2.8,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2011,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
44912,Green Lantern,200000000,219851172,5.63,"Adventure, Action, Science Fiction",Adventure,3,Martin Campbell,"De Line Pictures, Warner Bros. Pictures, DC",De Line Pictures,3,14-06-2011 00:00,23,Ryan Reynolds,Blake Lively,Peter Sarsgaard,14,6,3,2.33,47,3,4,15,8,24,9,Art,0.49,70,19851172,9.93,1.1,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2011,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10193,Toy Story 3,200000000,1067316101,40.95,"Animation, Family, Comedy",Animation,3,Lee Unkrich,Pixar,Pixar,1,16-06-2010 00:00,45,Tom Hanks,Tim Allen,Ned Beatty,25,10,10,2.5,38,2,1,16,1,21,9,Production,1.18,83,867316101,433.66,5.34,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2010,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
534,Terminator Salvation,200000000,371353001,8.31,"Action, Science Fiction, Thriller",Action,3,McG,"The Halcyon Company, Moritz Borman Productions, Wonderland Sound and Vision, Mandate International, T Asset Acquisition Company, Columbia Pictures, Warner Bros. Pictures",The Halcyon Company,7,20-05-2009 00:00,15,Christian Bale,Sam Worthington,Anton Yelchin,8,5,2,1.6,55,4,2,21,6,28,9,Production,0.27,70,171353001,85.68,1.86,Blockbuster Budget,Profit,Moderate,High Popularity,Moderately Profitable,High Popularity - Moderately Profitable,2009,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
168259,Furious 7,190000000,1515400000,14.68,"Action, Crime, Thriller",Action,3,James Wan,"Original Film, One Race, Universal Pictures",Original Film,3,01-04-2015 00:00,52,Vin Diesel,Paul Walker,Dwayne Johnson,20,11,21,1.82,98,4,1,21,6,71,11,Costume & Make-Up,0.53,150,1325400000,697.58,7.98,Blockbuster Budget,Profit,Highly Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2015,4,April,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
72190,World War Z,200000000,531865000,17.85,"Action, Horror, Science Fiction",Action,3,Marc Forster,"GK Films, Paramount Pictures, Hemisphere Media Capital, 2DUX², Skydance Media, Plan B Entertainment",GK Films,6,19-06-2013 00:00,22,Brad Pitt,Mireille Enos,Abigail Hargrove,12,5,5,2.4,31,4,3,18,4,9,10,Production,0.71,53,331865000,165.93,2.66,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2013,6,June,Q2,Summer,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
127585,X-Men: Days of Future Past,250000000,748045700,13.04,"Action, Adventure, Science Fiction",Action,3,Bryan Singer,"Bad Hat Harry Productions, The Donners' Company, 20th Century Fox, Marvel Entertainment, TSG Entertainment, Genre Films",Bad Hat Harry Productions,6,15-05-2014 00:00,65,Hugh Jackman,James McAvoy,Michael Fassbender,35,7,23,5,86,4,1,21,9,56,10,Production,0.76,151,498045700,199.22,2.99,Blockbuster Budget,Profit,Efficient,High Popularity,Highly Profitable,High Popularity - Highly Profitable,2014,5,May,Q2,Spring,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
